NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
Australia Interior - PAO,Australia Interior,PAO,19.000000000000000,295.086247148117650,3293619.406743520870805,19|PAO
Australia North Coast - PAO,Australia North Coast,PAO,20.000000000000000,108.418249279836374,1279972.367793751647696,20|PAO
Australia South Coast - PAO,Australia South Coast,PAO,21.000000000000000,45.744541653698903,479722.112560549343470,21|PAO
Australia West Coast - PAO,Australia West Coast,PAO,22.000000000000000,75.839530734078977,833937.790836706291884,22|PAO
Japan - PAO,Japan,PAO,71.000000000000000,38.047274353345863,372329.464848852425348,71|PAO
Murray Darling - PAO,Murray Darling,PAO,91.000000000000000,100.492634660186354,1054628.219488933216780,91|PAO
New Zealand - PAO,New Zealand,PAO,94.000000000000000,29.202882680693577,269075.463577611430082,94|PAO
Tasmania - PAO,Tasmania,PAO,149.000000000000000,7.422845236670526,68369.948979871784104,149|PAO
Bay of Bengal North East Coast - PAS,Bay of Bengal North East Coast,PAS,24.000000000000000,4.682251853332933,54082.068188584991731,24|PAS
Gulf of Thailand Coast Chao Phraya - PAS,Gulf of Thailand Coast Chao Phraya,PAS,59.000000000000000,16.331280563747871,193025.558721342706122,59|PAS
Irian Jaya Coast - PAS,Irian Jaya Coast,PAS,69.000000000000000,66.001118441772249,808375.684360008570366,69|PAS
Irrawaddy Salween Sittang - PAS,Irrawaddy Salween Sittang,PAS,70.000000000000000,49.827839754291730,570205.770178015576676,70|PAS
Java Timor - PAS,Java Timor,PAS,72.000000000000000,18.737427011099719,228450.784581086452818,72|PAS
Kalimantan North Borneo Coast - PAS,Kalimantan North Borneo Coast,PAS,73.000000000000000,60.127268225588701,739353.476733488030732,73|PAS
Mekong - PAS,Mekong,PAS,88.000000000000000,17.780186988703306,209514.666525865788572,88|PAS
North and South Korea Bo Hai Korean Bay North Coast - PAS,North and South Korea Bo Hai Korean Bay North Coast,PAS,98.000000000000000,10.024390471006885,99821.555777075613150,98|PAS
Palau East Indonesia - PAS,Palau East Indonesia,PAS,110.000000000000000,5.159872558003873,63410.598216175130801,110|PAS
Papua New Guinea Coast - PAS,Papua New Guinea Coast,PAS,112.000000000000000,4.457176393987877,54590.543335398797353,112|PAS
Peninsula Malaysia - PAS,Peninsula Malaysia,PAS,114.000000000000000,23.561498263515627,286680.344908480183221,114|PAS
Philippines - PAS,Philippines,PAS,117.000000000000000,24.510471112017179,294935.520067751174793,117|PAS
Solomon Islands - PAS,Solomon Islands,PAS,133.000000000000000,2.999314697019439,36542.971341300013592,133|PAS
South Pacific Islands - PAS,South Pacific Islands,PAS,140.000000000000000,4.262596323276906,49768.692118861014023,140|PAS
Sulawesi - PAS,Sulawesi,PAS,143.000000000000000,15.519066942107912,190784.023565853567561,143|PAS
Sumatra - PAS,Sumatra,PAS,144.000000000000000,38.392485386977647,471998.845610955788288,144|PAS
Taiwan - PAS,Taiwan,PAS,147.000000000000000,3.210938585805416,36252.118664896202972,147|PAS
Amur - RCPA,Amur,RCPA,11.000000000000000,30.195631982147766,251372.325097874709172,11|RCPA
Gobi Interior - RCPA,Gobi Interior,RCPA,54.000000000000000,113.072197782051191,976075.059870249475352,54|RCPA
Gulf of Thailand Coast Chao Phraya - RCPA,Gulf of Thailand Coast Chao Phraya,RCPA,59.000000000000000,3.351612549669000,40579.350428998739517,59|RCPA
Hong Red River Xun Jiang South China Sea Coast - RCPA,Hong Red River Xun Jiang South China Sea Coast,RCPA,61.000000000000000,9.379967847247480,107416.711962196219247,61|RCPA
Mekong - RCPA,Mekong,RCPA,88.000000000000000,33.694743137587842,398868.392381574609317,88|RCPA
North and South Korea Bo Hai Korean Bay North Coast - RCPA,North and South Korea Bo Hai Korean Bay North Coast,RCPA,98.000000000000000,11.099145075490723,105478.349866916920291,98|RCPA
Ob - RCPA,Ob,RCPA,105.000000000000000,1.332356268112036,11283.483212797063970,105|RCPA
Russia South East Coast - RCPA,Russia South East Coast,RCPA,123.000000000000000,1.859557958407876,17123.598447568747360,123|RCPA
Vietnam Coast - RCPA,Vietnam Coast,RCPA,156.000000000000000,16.232335815085708,192503.280435158230830,156|RCPA
Yenisey - RCPA,Yenisey,RCPA,160.000000000000000,40.243048540126324,327631.524937413632870,160|RCPA
Amu Darya - SAS,Amu Darya,SAS,10.000000000000000,16.751898553072152,166771.464109162654495,10|SAS
Andaman Nicobar Islands - SAS,Andaman Nicobar Islands,SAS,12.000000000000000,0.611597628153476,7382.908778365886064,12|SAS
Arabian Sea Coast - SAS,Arabian Sea Coast,SAS,15.000000000000000,3.138684368309237,34848.138191333739087,15|SAS
