id,source,recipient,status,time,vol_yr,runoff,vol_mon
8,Yangtze,Huang He,Existing,6,0.93,174.728938,0.13328332
8,Yangtze,Huang He,Existing,7,0.93,181.399557,0.138371672
8,Yangtze,Huang He,Existing,8,0.93,142.884207,0.108992144
8,Yangtze,Huang He,Existing,9,0.93,114.418885,0.087278782
8,Yangtze,Huang He,Existing,10,0.93,89.810121,0.068507205
8,Yangtze,Huang He,Existing,11,0.93,68.031734,0.05189464
8,Yangtze,Huang He,Existing,12,0.93,49.735567,0.037938315
9,Ob,Gobi Interior,Existing,1,0.84,0.036758,0.014307973
9,Ob,Gobi Interior,Existing,2,0.84,0.029767,0.011586741
9,Ob,Gobi Interior,Existing,3,0.84,0.150135,0.058439728
9,Ob,Gobi Interior,Existing,4,0.84,0.444828,0.173148348
9,Ob,Gobi Interior,Existing,5,0.84,0.366912,0.142819712
9,Ob,Gobi Interior,Existing,6,0.84,0.306692,0.119379205
9,Ob,Gobi Interior,Existing,7,0.84,0.274285,0.10676485
9,Ob,Gobi Interior,Existing,8,0.84,0.192845,0.075064504
9,Ob,Gobi Interior,Existing,9,0.84,0.146453,0.057006517
9,Ob,Gobi Interior,Existing,10,0.84,0.103806,0.040406264
9,Ob,Gobi Interior,Existing,11,0.84,0.061086,0.023777595
9,Ob,Gobi Interior,Existing,12,0.84,0.044441,0.017298564
10,Huang He,Yangtze,Existing,1,0.75,4.834713,0.029907119
10,Huang He,Yangtze,Existing,2,0.75,4.373283,0.027052753
10,Huang He,Yangtze,Existing,3,0.75,5.559875,0.034392909
10,Huang He,Yangtze,Existing,4,0.75,6.820114,0.04218864
10,Huang He,Yangtze,Existing,5,0.75,10.380193,0.064210983
10,Huang He,Yangtze,Existing,6,0.75,13.120795,0.081164111
10,Huang He,Yangtze,Existing,7,0.75,17.934271,0.11093986
10,Huang He,Yangtze,Existing,8,0.75,16.778697,0.103791579
10,Huang He,Yangtze,Existing,9,0.75,15.996471,0.098952796
10,Huang He,Yangtze,Existing,10,0.75,12.492241,0.07727593
10,Huang He,Yangtze,Existing,11,0.75,7.348766,0.045458835
10,Huang He,Yangtze,Existing,12,0.75,5.603777,0.034664483
11,Yangtze,Huang He,Planned,1,17.4,2.20991,0.462515631
11,Yangtze,Huang He,Planned,2,17.4,1.659475,0.347314202
11,Yangtze,Huang He,Planned,3,17.4,2.033387,0.425570848
11,Yangtze,Huang He,Planned,4,17.4,2.841074,0.594612964
11,Yangtze,Huang He,Planned,5,17.4,5.931844,1.241485206
